backend,qubit,datetime,name,units,value,log_datetime
ibmq_ourense,1,2020-10-12T07:06:32+00:00,T1,us,75.0813306299662,2020-10-12T10:43:28.999536
ibmq_ourense,1,2020-10-11T07:07:48+00:00,T2,us,30.58789079510967,2020-10-12T10:43:28.999536
ibmq_ourense,1,2020-10-12T07:26:04+00:00,frequency,GHz,4.890169592670855,2020-10-12T10:43:28.999536
ibmq_ourense,1,2020-10-12T07:26:04+00:00,anharmonicity,GHz,-0.306781656748504,2020-10-12T10:43:28.999536
ibmq_ourense,1,2020-10-12T07:06:09+00:00,readout_error,,0.0252,2020-10-12T10:43:28.999536
ibmq_ourense,1,2020-10-12T07:06:09+00:00,prob_meas0_prep1,,0.03300000000000003,2020-10-12T10:43:28.999536
ibmq_ourense,1,2020-10-12T07:06:09+00:00,prob_meas1_prep0,,0.0174,2020-10-12T10:43:28.999536
ibmq_ourense,1,2020-10-12T07:26:04+00:00,id_length,ns,35.55555555555556,2020-10-12T10:43:28.999536
ibmq_ourense,2,2020-10-12T07:06:32+00:00,T1,us,107.05774823983664,2020-10-12T10:43:28.999536
ibmq_ourense,2,2020-10-12T07:07:04+00:00,T2,us,114.3421250252717,2020-10-12T10:43:28.999536
ibmq_ourense,2,2020-10-12T07:26:04+00:00,frequency,GHz,4.71656881384577,2020-10-12T10:43:28.999536
ibmq_ourense,2,2020-10-12T07:26:04+00:00,anharmonicity,GHz,-0.3147069857406759,2020-10-12T10:43:28.999536
ibmq_ourense,2,2020-10-12T07:06:09+00:00,readout_error,,0.023700000000000054,2020-10-12T10:43:28.999536
ibmq_ourense,2,2020-10-12T07:06:09+00:00,prob_meas0_prep1,,0.019000000000000017,2020-10-12T10:43:28.999536
ibmq_ourense,2,2020-10-12T07:06:09+00:00,prob_meas1_prep0,,0.0284,2020-10-12T10:43:28.999536
ibmq_ourense,2,2020-10-12T07:26:04+00:00,id_length,ns,35.55555555555556,2020-10-12T10:43:28.999536
ibmq_ourense,3,2020-10-12T07:06:32+00:00,T1,us,93.2565549221025,2020-10-12T10:43:28.999536
ibmq_ourense,3,2020-10-12T07:07:04+00:00,T2,us,88.74598839568041,2020-10-12T10:43:28.999536
ibmq_ourense,3,2020-10-12T07:26:04+00:00,frequency,GHz,4.789072760381843,2020-10-12T10:43:28.999536
